,count,unique,top,freq
MSZoning,1455,5,RL,1114
Street,1459,2,Pave,1453
Alley,107,2,Grvl,70
LotShape,1459,4,Reg,934
LandContour,1459,4,Lvl,1311
Utilities,1457,1,AllPub,1457
LotConfig,1459,5,Inside,1081
LandSlope,1459,3,Gtl,1396
Neighborhood,1459,25,NAmes,218
Condition1,1459,9,Norm,1251
Condition2,1459,5,Norm,1444
BldgType,1459,5,1Fam,1205
HouseStyle,1459,7,1Story,745
RoofStyle,1459,6,Gable,1169
RoofMatl,1459,4,CompShg,1442
Exterior1st,1458,13,VinylSd,510
Exterior2nd,1458,15,VinylSd,510
MasVnrType,1443,4,None,878
ExterQual,1459,4,TA,892
ExterCond,1459,5,TA,1256
Foundation,1459,6,PConc,661
BsmtQual,1415,4,TA,634
BsmtCond,1414,4,TA,1295
BsmtExposure,1415,4,No,951
BsmtFinType1,1417,6,GLQ,431
BsmtFinType2,1417,6,Unf,1237
Heating,1459,4,GasA,1446
HeatingQC,1459,5,Ex,752
CentralAir,1459,2,Y,1358
Electrical,1459,4,SBrkr,1337
KitchenQual,1458,4,TA,757
Functional,1457,7,Typ,1357
FireplaceQu,729,5,Gd,364
GarageType,1383,6,Attchd,853
GarageFinish,1381,3,Unf,625
GarageQual,1381,4,TA,1293
GarageCond,1381,5,TA,1328
PavedDrive,1459,3,Y,1301
PoolQC,3,2,Ex,2
Fence,290,4,MnPrv,172
MiscFeature,51,3,Shed,46
SaleType,1458,9,WD,1258
SaleCondition,1459,6,Normal,1204
