,count,mean,std,min,25%,50%,75%,max
Id,1459.0,2190.0,421.32133421732476,1461.0,1825.5,2190.0,2554.5,2919.0
MSSubClass,1459.0,57.37834132967786,42.74687961871836,20.0,20.0,50.0,70.0,190.0
LotFrontage,1232.0,68.58035714285714,22.376841280775103,21.0,58.0,67.0,80.0,200.0
LotArea,1459.0,9819.161069225496,4955.517326926446,1470.0,7391.0,9399.0,11517.5,56600.0
OverallQual,1459.0,6.078821110349555,1.4368116404730251,1.0,5.0,6.0,7.0,10.0
OverallCond,1459.0,5.5538039753255655,1.1137396032892215,1.0,5.0,5.0,6.0,9.0
YearBuilt,1459.0,1971.357779300891,30.39007083720533,1879.0,1953.0,1973.0,2001.0,2010.0
YearRemodAdd,1459.0,1983.6627827278958,21.130466908170522,1950.0,1963.0,1992.0,2004.0,2010.0
MasVnrArea,1444.0,100.70914127423822,177.62590010361578,0.0,0.0,0.0,164.0,1290.0
BsmtFinSF1,1458.0,439.2037037037037,455.2680419797148,0.0,0.0,350.5,753.5,4010.0
BsmtFinSF2,1458.0,52.61934156378601,176.7539261267272,0.0,0.0,0.0,0.0,1526.0
BsmtUnfSF,1458.0,554.2949245541838,437.2604858112795,0.0,219.25,460.0,797.75,2140.0
TotalBsmtSF,1458.0,1046.1179698216736,442.8986241678422,0.0,784.0,988.0,1305.0,5095.0
1stFlrSF,1459.0,1156.534612748458,398.16581959237925,407.0,873.5,1079.0,1382.5,5095.0
2ndFlrSF,1459.0,325.96778615490064,420.61022646910124,0.0,0.0,0.0,676.0,1862.0
LowQualFinSF,1459.0,3.5435229609321452,44.04325086437502,0.0,0.0,0.0,0.0,1064.0
GrLivArea,1459.0,1486.0459218642907,485.5660986532532,407.0,1117.5,1432.0,1721.0,5095.0
BsmtFullBath,1457.0,0.4344543582704187,0.5306475357080688,0.0,0.0,0.0,1.0,3.0
BsmtHalfBath,1457.0,0.06520247083047358,0.25246826216473794,0.0,0.0,0.0,0.0,2.0
FullBath,1459.0,1.570938999314599,0.5551898880356576,0.0,1.0,2.0,2.0,4.0
HalfBath,1459.0,0.3776559287183002,0.503016676941589,0.0,0.0,0.0,1.0,2.0
BedroomAbvGr,1459.0,2.8540095956134337,0.8297883627354481,0.0,2.0,3.0,3.0,6.0
KitchenAbvGr,1459.0,1.0424948594928032,0.20847167211325218,0.0,1.0,1.0,1.0,2.0
TotRmsAbvGrd,1459.0,6.385195339273475,1.508894575192535,3.0,5.0,6.0,7.0,15.0
Fireplaces,1459.0,0.5812200137080192,0.6474204530720032,0.0,0.0,0.0,1.0,4.0
GarageYrBlt,1381.0,1977.7212165097756,26.431174889801248,1895.0,1959.0,1979.0,2002.0,2207.0
GarageCars,1458.0,1.7661179698216736,0.7759450711253323,0.0,1.0,2.0,2.0,5.0
GarageArea,1458.0,472.76886145404666,217.0486111278432,0.0,318.0,480.0,576.0,1488.0
WoodDeckSF,1459.0,93.17477724468814,127.74488151907717,0.0,0.0,0.0,168.0,1424.0
OpenPorchSF,1459.0,48.3139136394791,68.88336411315372,0.0,0.0,28.0,72.0,742.0
EnclosedPorch,1459.0,24.24331734064428,67.2277654195694,0.0,0.0,0.0,0.0,1012.0
3SsnPorch,1459.0,1.794379712131597,20.207841751496133,0.0,0.0,0.0,0.0,360.0
ScreenPorch,1459.0,17.064427690198766,56.60976290691096,0.0,0.0,0.0,0.0,576.0
PoolArea,1459.0,1.7443454420836189,30.49164630534227,0.0,0.0,0.0,0.0,800.0
MiscVal,1459.0,58.16792323509253,630.806977589709,0.0,0.0,0.0,0.0,17000.0
MoSold,1459.0,6.104180945853324,2.7224319012508014,1.0,4.0,6.0,8.0,12.0
YrSold,1459.0,2007.7697052775875,1.3017401493802205,2006.0,2007.0,2008.0,2009.0,2010.0
